Départements,Temps d'enseillement (jours/an),Région
Ain,182,Auvergne-Rhône-Alpes
Aisne,142,Hauts-de-France
Allier,161,Auvergne-Rhône-Alpes
Alpes de Haute Provence,241,Provence-Alpes-Côte d'Azur
Hautes-Alpes,232,Provence-Alpes-Côte d'Azur
Alpes-Maritimes,253,Provence-Alpes-Côte d'Azur
Ardèche,182,Auvergne-Rhône-Alpes
Ardennes,132,Grand Est
Ariège,178,Occitanie
Aube,156,Grand Est
Aude,196,Occitanie
Aveyron,192,Occitanie
Bouches-du-Rhône,235,Provence-Alpes-Côte d'Azur
Calvados,142,Normandie
Cantal,185,Auvergne-Rhône-Alpes
Charente,177,Nouvelle-Aquitaine
Charente-Maritime,137,Nouvelle-Aquitaine
Cher,169,Centre-Val de Loire
Corrèze,177,Nouvelle-Aquitaine
Côte-d’Or,168,Bourgogne-Franche-Comté
Côtes d'Armor,137,Bretagne
Dordogne,175,Nouvelle-Aquitaine
Doubs,164,Bourgogne-Franche-Comté
Drôme,220,Auvergne-Rhône-Alpes
Eure,134,Normandie
Eure-et-Loire,149,Bourgogne-Franche-Comté
Finistère,138,Bretagne
Gard,238,Occitanie
Haute-Garonne,146,Occitanie
Gers,111,Occitanie
Gironde,173,Nouvelle-Aquitaine
Hérault,230,Occitanie
Ille-et-Vilaine,144,Bretagne
Indre,163,Centre-Val de Loire
Indre-et-Loire,165,Centre-Val de Loire
Isère,183,Auvergne-Rhône-Alpes
Jura,166,Bourgogne-Franche-Comté
Landes,177,Nouvelle-Aquitaine
Loir-et-Cher,163,Centre-Val de Loire
Loire,153,Auvergne-Rhône-Alpes
Haute-Loire,164,Auvergne-Rhône-Alpes
Loire-Atlantique,170,Pays de la Loire
Loiret,155,Centre-Val de Loire
Lot,176,Occitanie
Lot-et-Garonne,172,Nouvelle-Aquitaine
Lozère,192,Occitanie
Maine-et-Loire,159,Pays de la Loire
Manche,140,Normandie
Marne,149,Grand Est
Haute-Marne,149,Grand Est
Mayenne,152,Pays de la Loire
Meurthe-et-Moselle,152,Grand Est
Meuse,144,Grand Est
Morbihan,155,Bretagne
Moselle,151,Grand Est
Nièvre,163,Bourgogne-Franche-Comté
Nord,125,Hauts-de-France
Oise,141,Hauts-de-France
Orne,144,Normandie
Pas-de-Calais,130,Hauts-de-France
Puy-de-Dôme,167,Auvergne-Rhône-Alpes
Pyrénées-Atlantiques,174,Nouvelle-Aquitaine
Hautes-Pyrénées,176,Occitanie
Pyrénées-Orientales,210,Occitanie
Bas-Rhin,150,Grand Est
Haut-Rhin,171,Grand Est
Rhône,183,Auvergne-Rhône-Alpes
Haute-Saône,163,Bourgogne-Franche-Comté
Saône-et-Loire,175,Bourgogne-Franche-Comté
Sarthe,148,Pays de la Loire
Savoie,170,Auvergne-Rhône-Alpes
Haute-Savoie,172,Auvergne-Rhône-Alpes
Paris,136,Île-de-France
Seine-Maritime,128,Normandie
Seine-et-Marne,146,Île-de-France
Yvelines,140,Île-de-France
Deux-Sèvres,172,Nouvelle-Aquitaine
Somme,139,Hauts-de-France
Tarn,182,Occitanie
Tarn-et-Garonne,177,Occitanie
Var,245,Provence-Alpes-Côte d'Azur
Vaucluse,241,Provence-Alpes-Côte d'Azur
Vendée,146,Pays de la Loire
Vienne,173,Nouvelle-Aquitaine
Haute-Vienne,163,Nouvelle-Aquitaine
Vosges,154,Grand Est
Yonne,158,Bourgogne-Franche-Comté
Territoire-de-Belfort,168,Bourgogne-Franche-Comté
Essonne,148,Île-de-France
Hauts-de-Seine,107,Île-de-France
Seine-Saint-Denis,126,Île-de-France
Val-de-Marne,126,Île-de-France
Val-d'Oise,131,Île-de-France
